number,value,datetime_start,datetime_complete,duration,params_arquitectura,params_contraste,params_dropout1,params_dropout2,params_pooling,params_ratio_congelamiento,params_rotacion,params_tasa_aprendizaje,params_unidades,params_usar_batchnorm,params_zoom,state
0,0.7921568751335144,2025-11-27 18:42:41.676704,2025-11-27 18:48:37.774443,0 days 00:05:56.097739,EfficientNetB0,0.1363649934414201,0.24679835610086082,0.11742508365045984,avg,0.7927975767245621,0.13324426408004217,0.00015254729458052615,128,False,0.07123391106782762,COMPLETE
1,0.8196078538894653,2025-11-27 18:48:37.819016,2025-11-27 18:59:19.918681,0 days 00:10:42.099665,EfficientNetB0,0.22150897038028766,0.24184815819561256,0.18764339456056545,max,0.6727780074568463,0.10924145688620424,0.00014808945119975197,512,False,0.054645041271999775,COMPLETE
2,0.8196078538894653,2025-11-27 18:59:19.980755,2025-11-27 19:04:40.884843,0 days 00:05:20.904088,EfficientNetB0,0.1623422152178822,0.22930163420191518,0.3052699079536471,avg,0.8862528132298237,0.0758779981600017,0.000331182988807238,512,False,0.11625222843539819,COMPLETE
3,0.8235294222831726,2025-11-27 19:04:40.930040,2025-11-27 19:10:52.716526,0 days 00:06:11.786486,MobileNetV2,0.26574750183038587,0.46844820512829466,0.2793699936433256,max,0.8878338511058235,0.0888677289689482,0.00022738055735631828,128,False,0.0771349031773896,COMPLETE
4,0.8313725590705872,2025-11-27 19:10:52.756567,2025-11-27 19:16:44.508354,0 days 00:05:51.751787,EfficientNetB0,0.17169314570885452,0.4960660809801552,0.33167343078899725,avg,0.5563696899899051,0.12712703466859457,0.00013057771348997234,512,False,0.05740446517340904,COMPLETE
5,0.8823529481887817,2025-11-27 19:16:44.545574,2025-11-27 19:24:37.993479,0 days 00:07:53.447905,MobileNetV2,0.25419343599091215,0.2975549966080241,0.3188818535014193,max,0.6323592099410597,0.12607850486168976,0.0003117422003004634,256,False,0.10612771975694962,COMPLETE
6,0.8470588326454163,2025-11-27 19:24:38.033441,2025-11-27 19:31:12.751877,0 days 00:06:34.718436,MobileNetV2,0.15795029058275362,0.39092312337913415,0.19430679432289802,avg,0.510167650697638,0.07287981654916224,0.00014495102383254693,256,False,0.0576979909828793,COMPLETE
7,0.6627451181411743,2025-11-27 19:31:12.814849,2025-11-27 19:36:17.700024,0 days 00:05:04.885175,MobileNetV2,0.2636029531844986,0.25597101766581076,0.3677676995469934,avg,0.7533615026041693,0.07279351625419417,0.0007256556536786186,512,True,0.09271077886262563,COMPLETE
8,0.7921568751335144,2025-11-27 19:36:17.741541,2025-11-27 19:41:24.282365,0 days 00:05:06.540824,EfficientNetB0,0.1994497011784771,0.3012845514210884,0.38287291117375577,avg,0.6669644012595116,0.14624472949421113,0.00019993015828338186,512,False,0.07517822958253642,COMPLETE
9,0.5607843399047852,2025-11-27 19:41:24.313200,2025-11-27 19:43:56.159415,0 days 00:02:31.846215,MobileNetV2,0.14752750879847992,0.2835939392709834,0.3724797657899962,avg,0.7438257335919587,0.11721355474058785,0.0005348307249011097,512,True,0.12616196153287174,COMPLETE
10,0.7019608020782471,2025-11-27 19:43:56.196663,2025-11-27 19:49:05.214746,0 days 00:05:09.018083,MobileNetV2,0.29847253309206745,0.35792969143845893,0.2361049458170283,max,0.6035845655308416,0.09272701478873474,0.0003894706089427724,256,True,0.14469618763901493,COMPLETE
11,0.8117647171020508,2025-11-27 19:49:05.245140,2025-11-27 20:01:25.873859,0 days 00:12:20.628719,MobileNetV2,0.21839268945693724,0.3986703598670434,0.2095438243585528,max,0.5170324364998508,0.051994118672829416,0.00010314224429411388,256,False,0.10181591656643187,COMPLETE
12,0.843137264251709,2025-11-27 20:01:25.911688,2025-11-27 20:07:50.534858,0 days 00:06:24.623170,MobileNetV2,0.10159309665752084,0.41109999587462015,0.1449466602303131,max,0.6054618949178086,0.05307567823305922,0.0002443876283052332,256,False,0.09901071260073743,COMPLETE
13,0.8196078538894653,2025-11-27 20:07:50.585199,2025-11-27 20:15:22.497809,0 days 00:07:31.912610,MobileNetV2,0.24329372322939957,0.3349524804293248,0.2632969700721353,max,0.5971463291368737,0.07531209901564508,0.0004888277171563409,256,False,0.12104696631860315,COMPLETE
14,0.8274509906768799,2025-11-27 20:15:22.527651,2025-11-27 20:24:24.545093,0 days 00:09:02.017442,MobileNetV2,0.12112706770020867,0.3874512487280244,0.17935417994229705,avg,0.5068648171008258,0.10597609442122047,0.0008565490056259828,256,True,0.10953568034510394,COMPLETE
15,0.5843137502670288,2025-11-27 20:24:24.577233,2025-11-27 20:27:16.152791,0 days 00:02:51.575558,MobileNetV2,0.18724123420740701,0.3311985182395312,0.3252991708037578,max,0.6447503836849965,0.14002148367830047,0.0002784994259025065,256,False,0.08867022156666779,COMPLETE
16,0.686274528503418,2025-11-27 20:27:16.188545,2025-11-27 20:30:28.061165,0 days 00:03:11.872620,MobileNetV2,0.28225515747841035,0.44419811167334955,0.2335425366416529,max,0.5560608027188066,0.1193686291586791,0.00017569141230210105,256,False,0.1309672869016001,COMPLETE
17,0.7372549176216125,2025-11-27 20:30:28.099100,2025-11-27 20:34:57.715538,0 days 00:04:29.616438,MobileNetV2,0.22774029658459535,0.29608759503270715,0.2994907190478136,avg,0.7255898796085731,0.06610960438681393,0.00010618058237130765,256,False,0.13950834754968622,COMPLETE
18,0.7803921699523926,2025-11-27 20:34:57.751249,2025-11-27 20:40:34.850612,0 days 00:05:37.099363,MobileNetV2,0.17639401320939518,0.20162762276566537,0.15601722587052755,avg,0.5540448026639813,0.09090010710703236,0.000384264864422341,128,True,0.06387699394305989,COMPLETE
19,0.5843137502670288,2025-11-27 20:40:34.887607,2025-11-27 20:47:19.603560,0 days 00:06:44.715953,MobileNetV2,0.24695560586438436,0.3600371423819496,0.10034802058646912,max,0.7927667771131522,0.10470626071341155,0.0006473101482047726,256,False,0.08323676453747379,COMPLETE
